t,x,y,z,heading,roll,task,state
4.199,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.214,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.231,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.246,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.263,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.279,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.295,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.310,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.327,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.343,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.359,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.374,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.391,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.406,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.422,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.438,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.455,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.471,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.487,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.502,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.519,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.534,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.551,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.567,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.583,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.599,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.659,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.674,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.691,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
